uf,count,Estado,latitude,longitude
AC,66696,Acre,-8.77,-70.55
AL,323618,Alagoas,-9.62,-36.82
AM,453538,Amazonas,1.41,-51.77
AP,67620,Amapá,-3.47,-65.1
BA,1609480,Bahia,-13.29,-41.71
CE,726832,Ceará,-5.2,-39.53
DF,278155,Distrito Federal,-15.83,-47.86
ES,459626,Espírito Santo,-19.19,-40.34
GO,592431,Goiás,-15.98,-49.86
MA,485923,Maranhão,-5.42,-45.44
MG,1846907,Minas Gerais,-18.1,-44.38
MS,287769,Mato Grosso do Sul,-20.51,-54.54
MT,258953,Mato Grosso,-12.64,-55.42
PA,603688,Pará,-3.79,-52.48
PB,511589,Paraíba,-7.28,-36.72
PE,827538,Pernambuco,-8.38,-37.86
PI,270023,Piauí,-6.6,-42.28
PR,799980,Paraná,-24.89,-51.55
RJ,1440430,Rio de Janeiro,-10.83,-63.34
RN,378134,Rio Grande do Norte,-30.17,-53.5
RO,125429,Rondônia,-5.81,-36.59
RR,64980,Roraima,-22.25,-42.66
RS,1605013,Rio Grande do Sul,1.99,-61.33
SC,588895,Santa Catarina,-27.45,-50.95
SE,167836,Sergipe,-22.19,-48.79
SP,5562372,São Paulo,-10.57,-37.45
TO,138052,Tocantins,-9.46,-48.26
